id_utente,macro_argomento,argomento_spazio,suggerito
1,Finanza e Investimenti,Economia,TRUE
2,Tecnologia e Ingegneria,Web Design,TRUE
3,Hobby e Interessi Personali,Videogiochi,TRUE
4,Hobby e Interessi Personali,Programmazione,TRUE
5,Arte e Creatività,Filosofia,TRUE
6,Tecnologia e Ingegneria,Letteratura,FALSE
7,Scienze e Natura,Cucina,FALSE
8,Scienze e Natura,Montagna,TRUE
9,Arte e Creatività,Fotografia,TRUE
10,Relazioni e Famiglie,Cucina,FALSE
11,Tecnologia e Ingegneria,Teatro,FALSE
12,Tecnologia e Ingegneria,Cloud Computing,TRUE
13,Arte e Creatività,Matematica,FALSE
14,Hobby e Interessi Personali,Cybersecurity,FALSE
15,Tecnologia e Ingegneria,Geografia,TRUE
16,Finanza e Investimenti,Biologia,FALSE
17,Scienze e Natura,Videogiochi,FALSE
18,Hobby e Interessi Personali,Filosofia,TRUE
19,Hobby e Interessi Personali,Montagna,TRUE
20,Relazioni e Famiglie,Scienze della terra,FALSE
21,Tecnologia e Ingegneria,Programmazione,TRUE
22,Tecnologia e Ingegneria,Musica,TRUE
23,Finanza e Investimenti,Musica,FALSE
24,Relazioni e Famiglie,Economia,FALSE
25,Cultura e Società,Fisica,FALSE
26,Tecnologia e Ingegneria,Letteratura,FALSE
27,Tecnologia e Ingegneria,Web Design,TRUE
28,Finanza e Investimenti,Montagna,FALSE
29,Cultura e Società,Cucina,TRUE
30,Tecnologia e Ingegneria,Teatro,FALSE
31,Relazioni e Famiglie,Fotografia,TRUE
32,Scienze e Natura,Economia,FALSE
33,Hobby e Interessi Personali,Anime,TRUE
34,Cultura e Società,Sport,TRUE
35,Hobby e Interessi Personali,Sport,TRUE
36,Relazioni e Famiglie,Teatro,TRUE
37,Scienze e Natura,Montagna,TRUE
38,Scienze e Natura,Sport,FALSE
39,Finanza e Investimenti,Fisica,FALSE
40,Salute e Benessere,Fotografia,FALSE
41,Scienze e Natura,Musica,FALSE
42,Salute e Benessere,Fisica,TRUE
43,Cultura e Società,Cinema,TRUE
44,Salute e Benessere,Matematica,FALSE
45,Cultura e Società,Letteratura,TRUE
46,Cultura e Società,Economia,TRUE
47,Relazioni e Famiglie,Storia,TRUE
48,Cultura e Società,Matematica,TRUE
49,Cultura e Società,Scienze della terra,FALSE
50,Scienze e Natura,Fotografia,TRUE
51,Cultura e Società,Scienze della terra,TRUE
52,Salute e Benessere,Intelligenza Artificiale,FALSE
53,Scienze e Natura,Programmazione,FALSE
54,Relazioni e Famiglie,Scienze della terra,FALSE
55,Tecnologia e Ingegneria,Anime,FALSE
56,Relazioni e Famiglie,Programmazione,FALSE
57,Cultura e Società,Sport,TRUE
58,Arte e Creatività,Storia,TRUE
59,Scienze e Natura,Cybersecurity,FALSE
60,Finanza e Investimenti,Fisica,FALSE
61,Hobby e Interessi Personali,Cucina,TRUE
62,Hobby e Interessi Personali,Programmazione,TRUE
63,Tecnologia e Ingegneria,Programmazione,TRUE
64,Arte e Creatività,Cybersecurity,FALSE
65,Relazioni e Famiglie,Politica,TRUE
66,Finanza e Investimenti,Cybersecurity,FALSE
67,Relazioni e Famiglie,Crypto,FALSE
68,Tecnologia e Ingegneria,Teatro,FALSE
69,Scienze e Natura,Fotografia,FALSE
70,Cultura e Società,Economia,TRUE
71,Scienze e Natura,Cucina,FALSE
72,Salute e Benessere,Giornalismo,FALSE
73,Arte e Creatività,Chitarra,TRUE
74,Relazioni e Famiglie,Intelligenza Artificiale,FALSE
75,Hobby e Interessi Personali,Cinema,TRUE
76,Arte e Creatività,Anime,TRUE
77,Arte e Creatività,Intelligenza Artificiale,FALSE
78,Cultura e Società,Geografia,TRUE
79,Relazioni e Famiglie,Politica,TRUE
80,Hobby e Interessi Personali,Politica,TRUE
81,Cultura e Società,Sport,TRUE
82,Scienze e Natura,Economia,FALSE
83,Finanza e Investimenti,Crypto,TRUE
84,Hobby e Interessi Personali,Web Design,TRUE
85,Scienze e Natura,Economia,FALSE
86,Hobby e Interessi Personali,Biologia,TRUE
87,Scienze e Natura,Letteratura,FALSE
88,Cultura e Società,Cybersecurity,FALSE
89,Salute e Benessere,Data Science,FALSE
90,Finanza e Investimenti,Montagna,FALSE
91,Finanza e Investimenti,Letteratura,TRUE
92,Finanza e Investimenti,Montagna,FALSE
